species;family;trait;trait category;auto_allo;ploidy;nat_domesticated;additive variance;dominance variance;mean_value;narrow_h;SE_h2;narrow_h_d;SE_h2_d;narrow_h_e;SE_h2_e;broad_h;variance_H2;article
Fragaria x ananasa;rosaceae;Soluble_solids;physiological;allo;8;domesticated;NA;NA;NA;0.32;NA;0.04;NA;0.08;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Fragaria x ananasa;rosaceae;early_yield;Fitness;allo;8;domesticated;NA;NA;NA;0.23;NA;0.06;NA;0.09;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Fragaria x ananasa;rosaceae;Total yield;Fitness;allo;8;domesticated;NA;NA;NA;0.28;NA;0.09;NA;0.13;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Fragaria x ananasa;rosaceae;fruit weight;Fitness;allo;8;domesticated;NA;NA;NA;0.58;NA;0.05;NA;0.06;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Fragaria x ananasa;rosaceae;culled_fruits;Morpho;allo;8;domesticated;NA;NA;NA;0.25;NA;0.06;NA;0.18;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Vaccinium corymbosum;ericaceae;Firmness;Morpho;auto;4;domesticated;NA;NA;NA;0.28;NA;0.19;NA;0.12;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Vaccinium corymbosum;ericaceae;scar diameter;Morpho;auto;4;domesticated;NA;NA;NA;0.34;NA;0.12;NA;0.18;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Vaccinium corymbosum;ericaceae;Size;Morpho;auto;4;domesticated;NA;NA;NA;0.27;NA;0.11;NA;0.16;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Vaccinium corymbosum;ericaceae;fruit weight;Fitness;auto;4;domesticated;NA;NA;NA;0.32;NA;0.14;NA;0.20;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Vaccinium corymbosum;ericaceae;Yield;Fitness;auto;4;domesticated;NA;NA;NA;0.17;NA;0.19;NA;0.18;NA;NA;NA;Zingaretti_et_al_2020_Frontiers_in_plant_sciences
Vaccinium spp;ericaceae;firmness;Morpho;auto;4;domesticated;NA;NA;NA;0.3;NA;0.15;NA;NA;NA;NA;NA;Amadeu_et_al_2020_Crop_Science
Vaccinium spp;ericaceae;scar diameter;Morpho;auto;4;domesticated;NA;NA;NA;0.35;NA;0.15;NA;NA;NA;NA;NA;Amadeu_et_al_2020_Crop_Science
Vaccinium spp;ericaceae;Size;Morpho;auto;4;domesticated;NA;NA;NA;0.25;NA;0.1;NA;NA;NA;NA;NA;Amadeu_et_al_2020_Crop_Science
Vaccinium spp;ericaceae;weight;Fitness;auto;4;domesticated;NA;NA;NA;0.3;NA;0.2;NA;NA;NA;NA;NA;Amadeu_et_al_2020_Crop_Science
Vaccinium spp;ericaceae;yield;Fitness;auto;4;domesticated;NA;NA;NA;0.2;NA;0.1;NA;NA;NA;NA;NA;Amadeu_et_al_2020_Crop_Science
Solanum tuberosum;solanaceae;Specific gravity;Morpho;auto;4;domesticated;NA;NA;NA;0.125;NA;0.15;NA;NA;NA;NA;NA;Amadeu_et_al_2020_Crop_Science
Solanum tuberosum;solanaceae;yield;Fitness;auto;4;domesticated;NA;NA;NA;0.1;NA;0.25;NA;NA;NA;NA;NA;Amadeu_et_al_2020_Crop_Science
Brassica juncea;brassicaceae;Seed Yield;Fitness;allo;4;domesticated;22.18;288.84;NA;0.06;NA;NA;NA;NA;NA;0.90;NA;Bansal_et_al_2012_plos_one
Brassica juncea;brassicaceae;Biomass yield;Fitness;allo;4;domesticated;1946.49;6361.18;NA;0.19;NA;NA;NA;NA;NA;0.84;NA;Bansal_et_al_2012_plos_one
Saccharum officinarum;poaceae;total cane harvested;Fitness;allo;8;domesticated;NA;NA;NA;0.26;NA;0.13;NA;0.19;NA;0.72;NA;Chen_et_al_2022_The_plant_genome
Saccharum officinarum;poaceae;fiber content;Morpho;allo;8;domesticated;NA;NA;NA;0.61;NA;NA;NA;NA;NA;0.89;NA;Chen_et_al_2022_The_plant_genome
Saccharum officinarum;poaceae;commercial sugar cane;Fitness;allo;8;domesticated;NA;NA;NA;0.52;NA;NA;NA;NA;NA;0.79;NA;Chen_et_al_2022_The_plant_genome
Populus trichocarpa x Populus deltoides;salicaceae;SLA;Morpho;allo;3;domesticated;NA;NA;NA;0.11;NA;0.20;NA;0.12;NA;0.43;NA;Wu_2000_Genet.Research.cambrige
Populus trichocarpa x Populus deltoides;salicaceae;Petiole length;Morpho;allo;3;domesticated;NA;NA;NA;0.08;NA;0.17;NA;0.11;NA;0.36;NA;Wu_2000_Genet.Research.cambrige
Populus trichocarpa x Populus deltoides;salicaceae;Leaf width;Morpho;allo;3;domesticated;NA;NA;NA;0.22;NA;0.13;NA;0.11;NA;0.46;NA;Wu_2000_Genet.Research.cambrige
Populus trichocarpa x Populus deltoides;salicaceae;Distance leaf;Morpho;allo;3;domesticated;NA;NA;NA;0.10;NA;0.06;NA;0.02;NA;0.18;NA;Wu_2000_Genet.Research.cambrige
Solanum tuberosum;solanaceae;Yield;Fitness;auto;4;domesticated;NA;NA;NA;0.34;NA;0.12;NA;NA;NA;NA;NA;Endelman_2023_TAG
Solanum tuberosum;solanaceae;Fry color;Morpho;auto;4;domesticated;NA;NA;NA;0.38;NA;0.04;NA;NA;NA;NA;NA;Endelman_2023_TAG
Solanum tuberosum;solanaceae;Vine maturity;Morpho;auto;4;domesticated;NA;NA;NA;0.43;NA;0.02;NA;NA;NA;NA;NA;Endelman_2023_TAG
Oryza sativa;poaceae;Panicle Height;Morpho;auto;4;domesticated;NA;NA;NA;0;NA;0;NA;0.177;NA;0.177;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Panicle Lenght;Morpho;auto;4;domesticated;NA;NA;NA;0.082;NA;0.760;NA;0.099;NA;0.86;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Number of Panicle;Fitness;auto;4;domesticated;NA;NA;NA;0;NA;0.723;NA;0.117;NA;0.84;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Grains per panicle;Fitness;auto;4;domesticated;NA;NA;NA;0;NA;0.367;NA;0.378;NA;0.745;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Filled grains per plant;Fitness;auto;4;domesticated;NA;NA;NA;0;NA;0.917;NA;0;NA;0.917;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Unfilled grains per plant;Fitness;auto;4;domesticated;NA;NA;NA;0;NA;0.934;NA;0;NA;0.934;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;1000-grain weight;Morpho;auto;4;domesticated;NA;NA;NA;0;NA;0.252;NA;0.568;NA;0.820;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Yield;Fitness;auto;4;domesticated;NA;NA;NA;0;NA;0.929;NA;0;NA;0.929;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Grain length;Morpho;auto;4;domesticated;NA;NA;NA;0.578;NA;0.262;NA;0.043;NA;0.884;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Grain widht;Morpho;auto;4;domesticated;NA;NA;NA;0.528;NA;0.052;NA;0.107;NA;0.687;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Oryza sativa;poaceae;Seed setting rate;Morpho;auto;4;domesticated;NA;NA;NA;0.09;NA;0.720;NA;0;NA;0.810;NA;Shadid_et_al_2011_Acta_Agriculturaea_Scandinavica
Urochloa spp.;poaceae;Field green weight;Morpho;auto;4;domesticated;17527;15755;1084;0.46;NA;0.42;NA;NA;NA;0.88;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;Total dry matter;Morpho;auto;4;domesticated;23110;10528;1369;0.59;NA;0.27;NA;NA;NA;0.86;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;density of regrown tillers;Morpho;auto;4;domesticated;0;0;2.98;0.36;NA;0;NA;NA;NA;0.36;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;regrowth speed;Morpho;auto;4;domesticated;0.03;0;1.54;0.84;NA;0;NA;NA;NA;0.84;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;regrowth capacity;Morpho;auto;4;domesticated;0.02;0.02;1.60;0.41;NA;0.38;NA;NA;NA;0.79;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;Leaf dry matter;Morpho;auto;4;domesticated;14838;0;444;0.70;NA;0;NA;NA;NA;0.70;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;percentage of leaves;Morpho;auto;4;domesticated;0;0;63;0;NA;0;NA;NA;NA;0;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;Leaf/stem ratio;Morpho;auto;4;domesticated;0.61;0.42;2.92;0.19;NA;0.13;NA;NA;NA;0.32;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;crude protein;physiological;auto;4;domesticated;0.4;0;15.44;0.78;NA;0;NA;NA;NA;0.78;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;neutral detergent fiber;physiological;auto;4;domesticated;0.5;0;63.34;0.63;NA;0;NA;NA;NA;0.63;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;in vitro organic matter digestibility;physiological;auto;4;domesticated;0.9;0;72.33;0.53;NA;0.53;NA;NA;NA;0.53;NA;Matias_et_al_2018_Crop_Science
Urochloa spp.;poaceae;Lignin;physiological;auto;4;domesticated;0;0.01;2.07;0;NA;0.53;NA;NA;NA;0.53;NA;Matias_et_al_2018_Crop_Science
Saccharum officinarum;poaceae;stalk number;Fitness;allo;8;domesticated;NA;NA;NA;0.04;;0.01;NA;NA;NA;0.05;NA;Pisaroglo_de_Carvalho_et_al_2014_Agronomic_Application_of_Genetic_Ressources
Saccharum officinarum;poaceae;stalk weight;Morpho;allo;8;domesticated;NA;NA;NA;0.01;;0.07;NA;NA;NA;0.08;NA;Pisaroglo_de_Carvalho_et_al_2014_Agronomic_Application_of_Genetic_Ressources
Saccharum officinarum;poaceae;stalk diameter;Morpho;allo;8;domesticated;NA;NA;NA;0.1;;0.12;NA;NA;NA;0.22;NA;Pisaroglo_de_Carvalho_et_al_2014_Agronomic_Application_of_Genetic_Ressources
Saccharum officinarum;poaceae;stalk height;Morpho;allo;8;domesticated;NA;NA;NA;0.13;;0.35;NA;NA;NA;0.48;NA;Pisaroglo_de_Carvalho_et_al_2014_Agronomic_Application_of_Genetic_Ressources
